product_name,product_group,price_per_unit,tier,seller,date,margin
chayote,chayote,70,agroecological,elbuencampo,2026-02-13,
aguacate hass,aguacate,46.9922550729991,local,local_market_29.8,2026-02-13,0.298245321121067
aguacate hass,aguacate,46.8700062250844,local,local_market_33.2,2026-02-13,0.331620280374773
aguacate hass,aguacate,44.0651906891126,local,local_market_24.3,2026-02-13,0.242605500889476
aguacate hass,aguacate,46.7442380859584,local,local_market_27.9,2026-02-13,0.278730957512744
aguacate hass,aguacate,43.7323934643768,local,local_market_24.4,2026-02-13,0.244415803963784
aguacate hass,aguacate,46.5707716899801,local,local_market_25.5,2026-02-13,0.254584331449587
aguacate hass,aguacate,41.8516658141668,local,local_market_15.3,2026-02-13,0.152664461266249
aguacate hass,aguacate,45.7149489842112,local,local_market_28.3,2026-02-13,0.283073810546193
aguacate hass,aguacate,45.9300518150534,local,local_market_25.8,2026-02-13,0.25804015409667
aguacate hass,aguacate,40.780459384125,local,local_market_17.3,2026-02-13,0.173420379962772
aguacate hass,aguacate,46.616433143609,local,local_market_28.9,2026-02-13,0.288944978418294
aguacate hass,aguacate,45.9007648146499,local,local_market_29.8,2026-02-13,0.297557122225408
aguacate hass,aguacate,40.9863254726116,local,local_market_16.7,2026-02-13,0.166785285843071
aguacate hass,aguacate,41.8975780769026,local,local_market_16.2,2026-02-13,0.161886963329744
aguacate hass,aguacate,42.4826024981707,local,local_market_18.9,2026-02-13,0.18905062895501
aguacate hass,aguacate,45.6469930296298,local,local_market_26.2,2026-02-13,0.261606940859929
aguacate hass,aguacate,43.7447045923567,local,local_market_19.3,2026-02-13,0.192860921763349
aguacate hass,aguacate,46.9124871067115,local,local_market_39.2,2026-02-13,0.391633573314175
aguacate hass,aguacate,44.4145937910069,local,local_market_22.8,2026-02-13,0.227666607452557
aguacate hass,aguacate,45.8756913450399,local,local_market_30.4,2026-02-13,0.303616598923691
aguacate hass,aguacate,41.620817097913,local,local_market_25.8,2026-02-13,0.257765196764376
aguacate hass,aguacate,43.4684392684104,local,local_market_22.1,2026-02-13,0.221381772868335
aguacate hass,aguacate,44.0589325389699,local,local_market_23.6,2026-02-13,0.235537836770527
aguacate hass,aguacate,44.8907619589911,local,local_market_24.7,2026-02-13,0.246656906884164
aguacate hass,aguacate,49.1816294193306,local,local_market_39.2,2026-02-13,0.391881869733334
aguacate hass,aguacate,42.9387296680125,local,local_market_23.1,2026-02-13,0.230506681872066
aguacate hass,aguacate,46.3323577710504,local,local_market_31.3,2026-02-13,0.313307363691274
aguacate hass,aguacate,43.6248250158925,local,local_market_22.1,2026-02-13,0.220825874921866
aguacate hass,aguacate,49.3517010910665,local,local_market_34.7,2026-02-13,0.346856979804579
aguacate hass,aguacate,45.5069838111686,local,local_market_29.9,2026-02-13,0.298980158788618
aguacate hass,aguacate,42.3544483043023,local,local_market_16.5,2026-02-13,0.16464911561925
aguacate hass,aguacate,46.3639137164023,local,local_market_27.7,2026-02-13,0.277474965003785
aguacate hass,aguacate,44.8892738199277,local,local_market_26.6,2026-02-13,0.26644810740836
aguacate hass,aguacate,44.781231178275,local,local_market_26.7,2026-02-13,0.267339773452841
aguacate hass,aguacate,46.753544592077,local,local_market_24,2026-02-13,0.239936343021691
aguacate hass,aguacate,49.2660485018729,local,local_market_32.8,2026-02-13,0.328352588263806
aguacate hass,aguacate,43.2036770456597,local,local_market_17.9,2026-02-13,0.179078870429657
aguacate hass,aguacate,45.2429798087445,local,local_market_34.6,2026-02-13,0.34599815516267
aguacate hass,aguacate,46.7759093785882,local,local_market_31.1,2026-02-13,0.310535177623387
aguacate hass,aguacate,48.7747175119462,local,local_market_35.1,2026-02-13,0.351275228348095
aguacate hass,aguacate,46.8708962519946,local,local_market_31,2026-02-13,0.310299464594573
aguacate hass,aguacate,45.7494701040058,local,local_market_23.2,2026-02-13,0.23212291134987
aguacate hass,aguacate,45.0172731348279,local,local_market_30.9,2026-02-13,0.308922738628462
aguacate hass,aguacate,47.5187700809142,local,local_market_38.2,2026-02-13,0.382129789481405
aguacate hass,aguacate,46.8078400547412,local,local_market_29.4,2026-02-13,0.2938105510897
aguacate hass,aguacate,45.2821876026474,local,local_market_24.2,2026-02-13,0.241670963389333
aguacate hass,aguacate,45.5303172653631,local,local_market_25.9,2026-02-13,0.259151805110741
aguacate hass,aguacate,48.570388670689,local,local_market_36.4,2026-02-13,0.363980484462809
aguacate hass,aguacate,46.9592881026764,local,local_market_30.7,2026-02-13,0.306998893420678
aguacate hass,aguacate,47.2668570700766,local,local_market_34.8,2026-02-13,0.348443910805509
aguacate hass,aguacate,48.8810238501698,local,local_market_33.1,2026-02-13,0.33129120831145
aguacate hass,aguacate,45.0857687867634,local,local_market_29.6,2026-02-13,0.296261180227157
aguacate hass,aguacate,43.598765255389,local,local_market_15.8,2026-02-13,0.158192911860533
aguacate hass,aguacate,43.2601554837795,local,local_market_23.3,2026-02-13,0.233248670096509
aguacate hass,aguacate,47.3070414608945,local,local_market_39.9,2026-02-13,0.399179165344685
aguacate hass,aguacate,47.4672743797698,local,local_market_28.7,2026-02-13,0.287068342475686
aguacate hass,aguacate,46.2087871399767,local,local_market_29.4,2026-02-13,0.293958234693855
aguacate hass,aguacate,45.1954650533801,local,local_market_26.4,2026-02-13,0.264078801649157
aguacate hass,aguacate,40.361121201752,local,local_market_17.4,2026-02-13,0.174144641356543
aguacate hass,aguacate,49.0539345209787,local,local_market_35.1,2026-02-13,0.351385043794289
aguacate hass,aguacate,41.851290835762,local,local_market_15,2026-02-13,0.150231325160712
aguacate hass,aguacate,43.431443347705,local,local_market_26.7,2026-02-13,0.266686011780985
aguacate hass,aguacate,43.1467196137558,local,local_market_19.3,2026-02-13,0.193315218237694
aguacate hass,aguacate,43.3068926982557,local,local_market_21.5,2026-02-13,0.214805641188286
aguacate hass,aguacate,49.3789672033839,local,local_market_38,2026-02-13,0.379820520384237
aguacate hass,aguacate,40.8926875069417,local,local_market_20.8,2026-02-13,0.207982396101579
aguacate hass,aguacate,38.8885139320746,local,local_market_16.3,2026-02-13,0.163141417875886
aguacate hass,aguacate,44.1948610514741,local,local_market_22.6,2026-02-13,0.226098156219814
aguacate hass,aguacate,41.9397164837079,local,local_market_15.3,2026-02-13,0.152931453753263
aguacate hass,aguacate,43.8140272359454,local,local_market_22.5,2026-02-13,0.225176924583502
aguacate hass,aguacate,48.3079366264602,local,local_market_36.9,2026-02-13,0.369395986525342
aguacate hass,aguacate,44.3879584256574,local,local_market_31.6,2026-02-13,0.316319681913592
aguacate hass,aguacate,44.1056901032972,local,local_market_26.3,2026-02-13,0.263441208668519
aguacate hass,aguacate,40.9454573614615,local,local_market_16.3,2026-02-13,0.163330582994968
aguacate hass,aguacate,46.8317133850131,local,local_market_30.8,2026-02-13,0.307726702280343
aguacate hass,aguacate,43.6423723825737,local,local_market_26.1,2026-02-13,0.260546297102701
aguacate hass,aguacate,45.1066661357601,local,local_market_21.7,2026-02-13,0.216836621728726
aguacate hass,aguacate,51.0509750537235,local,local_market_39.6,2026-02-13,0.395943604735658
aguacate hass,aguacate,43.3717522784332,local,local_market_17.4,2026-02-13,0.173781038296875
aguacate hass,aguacate,46.830889155109,local,local_market_34.6,2026-02-13,0.346492280869279
aguacate hass,aguacate,42.9673982761777,local,local_market_18,2026-02-13,0.179963045439217
aguacate hass,aguacate,49.0759884587446,local,local_market_37,2026-02-13,0.370303866779432
aguacate hass,aguacate,40.0667754439633,local,local_market_18.3,2026-02-13,0.182774516730569
aguacate hass,aguacate,43.891599975727,local,local_market_25,2026-02-13,0.250084469071589
aguacate hass,aguacate,41.9345896377819,local,local_market_17.2,2026-02-13,0.171653503412381
aguacate hass,aguacate,43.4245466517914,local,local_market_24.4,2026-02-13,0.243699949793518
aguacate hass,aguacate,47.0283608275122,local,local_market_32.1,2026-02-13,0.321196504263207
aguacate hass,aguacate,47.8787538157842,local,local_market_33.4,2026-02-13,0.333693168917671
aguacate hass,aguacate,48.9456565925895,local,local_market_34.3,2026-02-13,0.342736934113782
aguacate hass,aguacate,46.3783820331492,local,local_market_29.5,2026-02-13,0.294996337476186
aguacate hass,aguacate,45.4513385950061,local,local_market_27.8,2026-02-13,0.277774746157229
aguacate hass,aguacate,48.7936805735566,local,local_market_36.3,2026-02-13,0.363245926832315
aguacate hass,aguacate,45.1803003480378,local,local_market_30.7,2026-02-13,0.307455289037898
aguacate hass,aguacate,47.1967037873933,local,local_market_29.5,2026-02-13,0.294751476997044
aguacate hass,aguacate,45.8956835784519,local,local_market_33.5,2026-02-13,0.335062322358135
aguacate hass,aguacate,45.3818436026461,local,local_market_24.7,2026-02-13,0.246787440765183
aguacate hass,aguacate,49.4141297449803,local,local_market_39.8,2026-02-13,0.398383614292834
aguacate hass,aguacate,44.5751836662581,local,local_market_25,2026-02-13,0.249522370263003
aguacate hass,aguacate,48.8292452340576,local,local_market_39.4,2026-02-13,0.393750258465298
aguacate hass,aguacate,46.1678537707775,local,local_market_35.6,2026-02-13,0.356120550225023
limón c/semilla # 3,limon,24.2049117014815,local,local_market_33.1,2026-02-13,0.33140503851464
limón c/semilla # 3,limon,24.0654150112226,local,local_market_38,2026-02-13,0.380083356262185
limón c/semilla # 3,limon,21.0610948484149,local,local_market_18.1,2026-02-13,0.180739332549274
limón c/semilla # 3,limon,24.537802455498,local,local_market_38.8,2026-02-13,0.387785890756641
limón c/semilla # 3,limon,22.7606863191146,local,local_market_31.7,2026-02-13,0.317425771476701
limón c/semilla # 3,limon,20.4178810276016,local,local_market_17.1,2026-02-13,0.171274198719766
limón c/semilla # 3,limon,22.2798603131624,local,local_market_29.5,2026-02-13,0.295289200765546
limón c/semilla # 3,limon,21.1414521817439,local,local_market_20.3,2026-02-13,0.203128363797441
limón c/semilla # 3,limon,21.3284422173058,local,local_market_21.1,2026-02-13,0.21055483862292
limón c/semilla # 3,limon,23.2666273514449,local,local_market_28.4,2026-02-13,0.28407312851632
limón c/semilla # 3,limon,20.0253163747009,local,local_market_19.4,2026-02-13,0.194265114120208
limón c/semilla # 3,limon,22.0783808755433,local,local_market_29.3,2026-02-13,0.292600805789698
limón c/semilla # 3,limon,20.552171604414,local,local_market_18.9,2026-02-13,0.188853726524394
limón c/semilla # 3,limon,22.9553022730439,local,local_market_26.9,2026-02-13,0.268604830873664
limón c/semilla # 3,limon,23.8186716552038,local,local_market_33.2,2026-02-13,0.331851549306884
limón c/semilla # 3,limon,23.8971365275163,local,local_market_36.2,2026-02-13,0.36157597185811
limón c/semilla # 3,limon,23.1804868266846,local,local_market_39,2026-02-13,0.389644110959489
limón c/semilla # 3,limon,21.3694795587485,local,local_market_26.5,2026-02-13,0.264707920583896
limón c/semilla # 3,limon,21.6884436164415,local,local_market_24.1,2026-02-13,0.24080635861028
limón c/semilla # 3,limon,23.2629388351491,local,local_market_38.4,2026-02-13,0.384092833998147
limón c/semilla # 3,limon,24.6126690686755,local,local_market_37.1,2026-02-13,0.371193021803629
limón c/semilla # 3,limon,23.4566570490993,local,local_market_31.8,2026-02-13,0.317658329650294
limón c/semilla # 3,limon,23.2178931790328,local,local_market_36.2,2026-02-13,0.361764744075481
limón c/semilla # 3,limon,23.1264073151329,local,local_market_36.5,2026-02-13,0.364912668394391
limón c/semilla # 3,limon,20.8880064996053,local,local_market_27,2026-02-13,0.270386368711479
limón c/semilla # 3,limon,21.6341497378055,local,local_market_22.9,2026-02-13,0.229265349544585
limón c/semilla # 3,limon,24.2546183247502,local,local_market_37.9,2026-02-13,0.379301035462413
limón c/semilla # 3,limon,21.0310829214768,local,local_market_27.6,2026-02-13,0.276174139615614
limón c/semilla # 3,limon,20.2784320535507,local,local_market_15.4,2026-02-13,0.153518005716614
limón c/semilla # 3,limon,22.7908876820039,local,local_market_29.9,2026-02-13,0.298893330420833
limón c/semilla # 3,limon,20.5648184224976,local,local_market_26.2,2026-02-13,0.262312452925835
limón c/semilla # 3,limon,21.5058223659127,local,local_market_28.5,2026-02-13,0.284800019033719
limón c/semilla # 3,limon,20.6611867153098,local,local_market_17.3,2026-02-13,0.173479960043915
limón c/semilla # 3,limon,23.7668271516607,local,local_market_33.8,2026-02-13,0.337737197382376
limón c/semilla # 3,limon,19.5995797427961,local,local_market_16.9,2026-02-13,0.169199822912924
limón c/semilla # 3,limon,24.1331129658278,local,local_market_38.2,2026-02-13,0.382257666008081
limón c/semilla # 3,limon,22.8631682502225,local,local_market_35.3,2026-02-13,0.352604766178411
limón c/semilla # 3,limon,23.0280499721433,local,local_market_34,2026-02-13,0.34033149612369
limón c/semilla # 3,limon,22.3454947067279,local,local_market_31.3,2026-02-13,0.313301591004711
limón c/semilla # 3,limon,23.4556212511123,local,local_market_38.5,2026-02-13,0.385029289848171
limón c/semilla # 3,limon,23.011935619228,local,local_market_33.9,2026-02-13,0.338641230692156
limón c/semilla # 3,limon,20.4286009719352,local,local_market_17.1,2026-02-13,0.171049322618637
limón c/semilla # 3,limon,24.5896966458772,local,local_market_39.8,2026-02-13,0.397676652332302
limón c/semilla # 3,limon,22.0814247135422,local,local_market_21.7,2026-02-13,0.217496898584068
limón c/semilla # 3,limon,22.1241222636556,local,local_market_18.9,2026-02-13,0.188757408910897
limón c/semilla # 3,limon,22.046024104042,local,local_market_27.1,2026-02-13,0.271047204593197
limón c/semilla # 3,limon,22.1918102661195,local,local_market_30.4,2026-02-13,0.303616437164601
limón c/semilla # 3,limon,20.4929896603416,local,local_market_17,2026-02-13,0.170174559613224
limón c/semilla # 3,limon,24.2034062154867,local,local_market_38.5,2026-02-13,0.385311691300012
limón c/semilla # 3,limon,20.5530584977238,local,local_market_20.1,2026-02-13,0.200802235607989
limón c/semilla # 3,limon,19.8692907500691,local,local_market_20,2026-02-13,0.199616143340245
limón c/semilla # 3,limon,20.0035524523836,local,local_market_19.9,2026-02-13,0.198948957643006
limón c/semilla # 3,limon,23.766527528487,local,local_market_37.7,2026-02-13,0.376963699853513
limón c/semilla # 3,limon,21.4365858796869,local,local_market_28.3,2026-02-13,0.28332223019097
limón c/semilla # 3,limon,22.8838219096829,local,local_market_32.1,2026-02-13,0.320833858079277
limón c/semilla # 3,limon,22.9805250923562,local,local_market_28.5,2026-02-13,0.285048302763607
limón c/semilla # 3,limon,22.0003716795672,local,local_market_29.3,2026-02-13,0.293370972655248
limón c/semilla # 3,limon,24.2598271787689,local,local_market_36.2,2026-02-13,0.361680876323953
limón c/semilla # 3,limon,21.898399640552,local,local_market_30,2026-02-13,0.299994956562296
limón c/semilla # 3,limon,22.2443284280595,local,local_market_20.8,2026-02-13,0.207876829407178
limón c/semilla # 3,limon,24.4184530998524,local,local_market_39.9,2026-02-13,0.398808040632866
limón c/semilla # 3,limon,23.562206763422,local,local_market_35.1,2026-02-13,0.350746415357571
limón c/semilla # 3,limon,23.4702856755032,local,local_market_36.5,2026-02-13,0.364666599873453
limón c/semilla # 3,limon,23.4242133395065,local,local_market_38.9,2026-02-13,0.389246134471614
limón c/semilla # 3,limon,20.2642883141107,local,local_market_16.4,2026-02-13,0.163785947463475
limón c/semilla # 3,limon,20.2633865828686,local,local_market_16.7,2026-02-13,0.167024748958647
limón c/semilla # 3,limon,21.4890506300596,local,local_market_26.6,2026-02-13,0.266275458480231
limón c/semilla # 3,limon,20.9417528359801,local,local_market_23.1,2026-02-13,0.230873800267
limón c/semilla # 3,limon,22.0705995230411,local,local_market_31,2026-02-13,0.310215850919485
limón c/semilla # 3,limon,21.2069408047305,local,local_market_15.3,2026-02-13,0.152652171417139
limón c/semilla # 3,limon,20.499239835884,local,local_market_19.7,2026-02-13,0.197360123135149
limón c/semilla # 3,limon,23.5143268037144,local,local_market_34.3,2026-02-13,0.343000143044628
limón c/semilla # 3,limon,20.3231445160204,local,local_market_15,2026-02-13,0.150111185479909
limón c/semilla # 3,limon,20.2445052516215,local,local_market_15.4,2026-02-13,0.154297595762182
limón c/semilla # 3,limon,21.0152152201702,local,local_market_23,2026-02-13,0.230016392050311
limón c/semilla # 3,limon,22.3994070152594,local,local_market_28.2,2026-02-13,0.282356015499681
limón c/semilla # 3,limon,21.820865833734,local,local_market_31.7,2026-02-13,0.316740552289411
limón c/semilla # 3,limon,21.1631681967699,local,local_market_24.8,2026-02-13,0.247953632648569
limón c/semilla # 3,limon,21.5322687404984,local,local_market_21.8,2026-02-13,0.218231331242714
limón c/semilla # 3,limon,22.1696434782874,local,local_market_22.2,2026-02-13,0.22203877082793
limón c/semilla # 3,limon,23.1187023181169,local,local_market_33.7,2026-02-13,0.33749657907756
limón c/semilla # 3,limon,23.6979952534187,local,local_market_28,2026-02-13,0.279627388261724
limón c/semilla # 3,limon,22.5933768305763,local,local_market_33.4,2026-02-13,0.334396473108791
limón c/semilla # 3,limon,25.1074103609294,local,local_market_29.1,2026-02-13,0.291107575269416
limón c/semilla # 3,limon,19.8976614610288,local,local_market_21.7,2026-02-13,0.217486989486497
limón c/semilla # 3,limon,23.2204790867623,local,local_market_36.9,2026-02-13,0.368566039577127
limón c/semilla # 3,limon,23.390647111522,local,local_market_31.5,2026-02-13,0.315222319541499
limón c/semilla # 3,limon,20.6163119098811,local,local_market_21,2026-02-13,0.209507956670132
limón c/semilla # 3,limon,24.0158117401611,local,local_market_35.2,2026-02-13,0.352462479937822
limón c/semilla # 3,limon,20.4721019149184,local,local_market_20.9,2026-02-13,0.208784489927348
limón c/semilla # 3,limon,22.404469900363,local,local_market_27.7,2026-02-13,0.277110004948918
limón c/semilla # 3,limon,24.7255620322891,local,local_market_38,2026-02-13,0.380337303131819
limón c/semilla # 3,limon,24.1583494737229,local,local_market_39.1,2026-02-13,0.391220455151051
limón c/semilla # 3,limon,19.6917673718744,local,local_market_18.2,2026-02-13,0.182085231272504
limón c/semilla # 3,limon,21.6115964696417,local,local_market_23.1,2026-02-13,0.231400003575254
limón c/semilla # 3,limon,21.9851910065101,local,local_market_35.1,2026-02-13,0.351385458523873
limón c/semilla # 3,limon,22.5039534174295,local,local_market_26.3,2026-02-13,0.262553175189532
limón c/semilla # 3,limon,21.713707437048,local,local_market_24.1,2026-02-13,0.240680487744976
limón c/semilla # 3,limon,22.4525689734887,local,local_market_34.5,2026-02-13,0.344599975540768
limón c/semilla # 3,limon,23.5564921732775,local,local_market_35.2,2026-02-13,0.352044178615324
limón c/semilla # 4,limon,37.71816431432,local,local_market_26.6,2026-02-13,0.265884901199024
limón c/semilla # 4,limon,37.2592779190968,local,local_market_27,2026-02-13,0.270211103931069
limón c/semilla # 4,limon,32.9133987541512,local,local_market_15.8,2026-02-13,0.157611035485752
limón c/semilla # 4,limon,39.5189105164755,local,local_market_34.7,2026-02-13,0.347255238133948
limón c/semilla # 4,limon,35.5051523619966,local,local_market_21.3,2026-02-13,0.213323327165563
limón c/semilla # 4,limon,38.938488997409,local,local_market_30.4,2026-02-13,0.303522819338832
limón c/semilla # 4,limon,37.1545020573982,local,local_market_29.5,2026-02-13,0.295148450974375
limón c/semilla # 4,limon,41.5303921817695,local,local_market_38.3,2026-02-13,0.383207135926932
limón c/semilla # 4,limon,35.5767385712503,local,local_market_15.1,2026-02-13,0.151184301625472
limón c/semilla # 4,limon,38.2645344473723,local,local_market_31.4,2026-02-13,0.313801444403362
limón c/semilla # 4,limon,37.2622219965147,local,local_market_26.6,2026-02-13,0.265665064018685
limón c/semilla # 4,limon,41.0075506146835,local,local_market_30.8,2026-02-13,0.308490756410174
limón c/semilla # 4,limon,36.6337836526291,local,local_market_23.4,2026-02-13,0.233643289573956
limón c/semilla # 4,limon,41.7094448705482,local,local_market_37.3,2026-02-13,0.373149802885018
limón c/semilla # 4,limon,38.3419535559159,local,local_market_31.8,2026-02-13,0.317777408612892
limón c/semilla # 4,limon,40.4167240875647,local,local_market_36.5,2026-02-13,0.364534185070079
